event_id,event_date,landslide_category,landslide_trigger,landslide_size,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count,injury_count
684,8/1/2008 0:00,landslide,rain,large,0,41.02145,107.45,32.5625,11,
956,1/2/2009 2:00,mudslide,downpour,small,36619,0.60342,-122.663,45.42,0,
973,1/19/2007 0:00,landslide,downpour,large,14708,0.85548,-75.3587,-11.1295,10,
1067,7/31/2009 0:00,landslide,monsoon,medium,20908,0.75395,81.708,28.8378,1,
2603,10/16/2010 12:00,landslide,tropical_cyclone,medium,798634,2.02204,123.8978,10.3336,0,
4203,2/16/2012 0:00,landslide,downpour,medium,2404,2.28967,124.9668,10.7004,0,
4290,3/30/2012 0:00,mudslide,downpour,small,2126,19.97241,-117.2665,48.2797,0,
225,9/2/2007 0:00,complex,tropical_cyclone,medium,3191,10.88351,-107.622,24.9531,3,
236,9/5/2007 0:00,mudslide,rain,medium,2689,4.51471,-114.4194,43.6846,,
873,11/1/2008 0:00,complex,downpour,medium,0,55.18512,100.0845,23.89,2,
874,11/1/2008 0:00,complex,downpour,medium,1023674,6.82298,102.695,25.0967,4,
8253,12/21/2014 8:10,landslide,unknown,unknown,12883,0.87786,-122.8178,45.8647,0,0
954,1/1/2009 22:24,mudslide,rain,small,4864,7.43093,-122.0704,45.377,0,
955,1/2/2009 20:30,landslide,downpour,medium,6721,5.5353,124.0419,12.5655,0,1
957,1/3/2009 0:00,mudslide,rain,small,583776,0.55624,-122.67,45.521,0,
958,1/7/2009 1:41,landslide,rain,small,1150,2.71542,-83.071,35.507,0,
959,1/7/2009 0:00,landslide,rain,small,1895,4.05885,-122.893,46.11,0,
961,1/7/2009 0:00,mudslide,rain,small,6335,0.68778,-122.334,47.432,0,
962,1/7/2009 0:00,landslide,downpour,medium,1347,33.29411,-121.75,48.538,0,
963,1/7/2009 0:00,mudslide,rain,small,6441,10.78797,-122.2,48.72,0,
964,1/8/2009 0:00,mudslide,unknown,small,11925,1.87666,-122.909,46.1299,0,
965,1/8/2009 1:00,complex,rain,small,22699,5.27987,-122.273,47.538,0,
966,1/8/2009 6:00,mudslide,rain,small,3324,8.1479,-122.037,48.929,0,
968,1/13/2009 0:00,landslide,downpour,medium,148000,2.88422,5.765,36.7946,6,
969,1/13/2009 8:50,mudslide,rain,small,33505,0.57422,-122.2072,47.7573,0,
971,1/16/2009 13:00,landslide,rain,medium,570407,2.42408,110.3442,1.531,0,
972,1/19/2009 23:00,landslide,rain,medium,0,0.63292,116.662,-8.5073,4,
1085,8/13/2009 0:00,landslide,downpour,medium,802639,0.13721,-13.2287,8.4841,7,
974,1/22/2009 0:00,landslide,downpour,medium,64409,16.55352,115.0668,5.031,2,
975,1/22/2009 0:00,landslide,downpour,medium,12294193,0.15208,-99.1276,19.4271,2,
976,1/26/2009 0:00,mudslide,downpour,medium,959470,0.79183,14.252,40.8403,2,
978,2/6/2009 0:00,mudslide,rain,small,10917,0.26489,-118.05,34.162,0,
1054,7/22/2009 0:00,landslide,downpour,medium,46427,4.62496,88.3143,26.8572,0,
980,2/7/2009 0:00,landslide,downpour,medium,0,2.33966,123.226,9.29,2,
983,9/9/2009 0:00,landslide,downpour,medium,4164,6.62506,121.56,14.545,2,
1010,4/20/2009 9:00,mudslide,downpour,small,1463,13.41471,-79.4305,37.9137,0,
1118,8/23/2009 0:00,complex,downpour,small,19972,0.40001,145.9063,-41.0528,0,
1048,7/2/2009 3:00,landslide,monsoon,medium,200000,7.08117,83.9806,28.2039,3,
1049,7/2/2009 0:00,landslide,monsoon,medium,0,32.28507,84.2279,27.9447,2,
1053,7/21/2009 0:00,landslide,downpour,medium,116925,0.57723,131.5729,34.0496,6,
1055,7/22/2009 0:00,landslide,downpour,medium,46427,0.15035,88.2788,26.8826,0,
1058,7/24/2009 0:00,landslide,downpour,medium,1143841,1.2282,132.4592,34.3852,2,
1060,7/25/2009 0:00,landslide,downpour,medium,0,1.08737,103.5868,31.483,6,
1061,7/1/2009 5:40,landslide,downpour,medium,1464,3.541,88.527,27.478,0,
1062,7/27/2009 0:00,landslide,monsoon,large,1600,24.0447,85.71,28,13,
1065,7/31/2009 0:00,landslide,monsoon,medium,21867,17.40134,83.8791,28.1046,5,
1181,9/20/2009 18:30,mudslide,downpour,medium,2369,23.55928,-132.7269,56.5561,,
1187,9/22/2009 2:00,mudslide,downpour,medium,2369,24.6152,-132.7348,56.5692,,
1188,9/22/2009 5:00,mudslide,downpour,medium,2369,16.55139,-132.5617,56.5787,,
1312,11/18/2009 0:00,mudslide,downpour,small,6651,2.74791,-122.5562,47.2846,0,
1319,11/21/2009 0:00,landslide,downpour,medium,31352,16.15374,109.9187,-7.571,0,
1353,12/9/2009 0:00,mudslide,downpour,small,167674,5.97545,-85.3697,35.0672,0,
1354,12/9/2009 0:00,mudslide,downpour,small,7554,2.05274,-85.3361,35.1052,0,
1382,1/1/2010 0:00,mudslide,downpour,large,153635,2.5888,-44.32249842,-23.01374445,22,28
8208,2/6/2015 13:18,landslide,unknown,unknown,3742,3.64565,-123.1587,45.2335,0,0
1617,4/5/2010 0:00,landslide,downpour,medium,456456,2.64466,-43.07409842,-22.89234445,0,
2164,7/29/2010 23:00,landslide,downpour,medium,15118,39.51186,94.48214677,25.3098633,0,
2216,8/6/2010 0:00,landslide,downpour,medium,2005,41.15433,74.8609,36.6567,0,
2601,10/16/2010 0:00,landslide,tropical_cyclone,medium,48638,5.0295,123.9153,10.395,0,
2607,10/17/2010 0:00,landslide,tropical_cyclone,medium,7779,0.5475,123.72,10.57,0,
2608,10/17/2010 0:00,landslide,tropical_cyclone,medium,2968,2.66226,123.98,10.77,0,
2988,1/12/2011 0:00,mudslide,downpour,very_large,153361,9.07433,-42.6018,-22.2331,0,
37,3/19/2007 0:00,landslide,rain,medium,14711,18.10887,74.3333,33.8778,2,
3463,5/4/2011 9:00,mudslide,downpour,small,2386,5.80477,-73.0562,44.9378,0,
3669,6/29/2011 0:00,landslide,downpour,medium,17123,34.03469,78.7963,30.7666,0,
3712,7/3/2011 0:00,landslide,downpour,medium,91733,13.24717,83.5754,27.7394,2,
3709,7/3/2011 0:00,landslide,downpour,medium,23296,30.9652,83.2934,28.3683,0,
3710,7/3/2011 0:00,landslide,downpour,medium,23693,34.98625,83.2934,28.0889,0,
9763,6/2/2017 13:34,landslide,tropical_cyclone,medium,,,-96.22255907,16.09880042,2,
3750,7/9/2011 0:00,landslide,downpour,medium,17123,14.8033,78.5925,30.7652,0,
3751,7/9/2011 0:00,landslide,downpour,medium,2000,48.67682,79.0685,30.7331,0,
3752,7/9/2011 0:00,landslide,downpour,medium,7725,30.56741,78.4129,31.0188,0,
3821,7/21/2011 0:00,landslide,rain,medium,32442,15.271,79.6367,29.7334,1,
3785,7/16/2011 0:00,mudslide,downpour,medium,20324,30.61676,-36.9541,-8.8137,0,
4197,2/14/2012 0:00,landslide,downpour,medium,48638,4.34527,123.92,10.39,0,
3786,7/16/2011 0:00,mudslide,downpour,medium,1478098,0.05001,-34.8813,-8.0543,1,
3819,7/21/2011 0:00,landslide,rain,medium,2000,9.78584,79.3318,30.4043,1,
3833,7/22/2011 0:00,landslide,tropical_cyclone,medium,127235,0.36051,-103.7244,19.2444,0,
3834,7/22/2011 0:00,landslide,tropical_cyclone,medium,165250,6.8095,-99.538,17.4974,0,
3835,7/22/2011 0:00,landslide,tropical_cyclone,medium,2817,3.36905,-101.7023,19.5805,0,
4205,2/16/2012 0:00,landslide,downpour,medium,0,0.71608,124.9705,10.6073,0,
1306,11/17/2009 0:00,mudslide,downpour,small,66450,0.74953,-122.8001,49.0229,0,
3836,7/22/2011 0:00,landslide,tropical_cyclone,medium,6361,19.41353,-104.8334,21.7595,0,
3865,7/30/2011 0:00,mudslide,rain,small,3801,4.90954,-107.1291,39.4274,0,
3866,7/30/2011 0:00,mudslide,rain,small,9614,10.57117,-107.2225,39.4977,0,
3978,9/17/2011 9:00,landslide,downpour,medium,5427,28.60568,82.6474,28.3875,7,
4195,2/14/2012 0:00,landslide,downpour,medium,798634,5.89364,123.89,10.37,0,
4196,2/14/2012 0:00,landslide,downpour,medium,48638,7.06201,123.91,10.42,0,
9853,8/16/2016 19:22,landslide,rain,large,,,88.492,27.593,0,0
4346,5/2/2012 0:00,landslide,downpour,large,2514,14.54271,-124.01,42.9744,,
4565,9/18/2012 0:00,landslide,downpour,medium,2467,8.68139,77.1029,31.0226,,
4569,9/19/2012 0:00,landslide,downpour,large,1464,36.59477,88.556,27.8385,20,
4571,9/19/2012 0:00,landslide,downpour,large,1464,18.14812,88.605,27.6558,,
4589,10/19/2012 0:00,landslide,downpour,medium,50293,33.47473,-0.9992,5.5779,,
4680,12/25/2012 3:00,landslide,rain,medium,0,8.24676,-60.55,11.3169,,
9946,7/4/2017 14:33,landslide,rain,medium,,,91.92597729,21.61900923,1,0
4880,5/28/2013 0:00,landslide,downpour,medium,3302,0.7476,-79.8897,9.3381,0,
4881,5/28/2013 0:00,landslide,downpour,medium,76643,0.20365,-79.9029,9.3581,0,
4929,6/16/2013 0:00,landslide,rain,medium,27611,14.58545,78.3881,30.4954,0,
4930,6/16/2013 0:00,landslide,rain,medium,17123,27.63875,78.6695,30.885,0,
